eng_text,ksl_text
DO NOT SHY OFF,SHY OFF ZERO
DO NOT TEAR PAPERS IN YOUR BOOK,BOOK YOUR PAPER TEAR TEAR NO
DO NOT TEAR PAPERS IN YOUR BOOK,BOOK YOURS PAPER PAPER TEAR NOTHING
DO NOT TELL LIES,LIE ZERO TELL
DO NOT USE A LOT OF OIL IN THAT FOOD,FOOD THAT OIL A LOT USE ZERO
DO NOT WASTE TIME,TIME WASTE ZERO
DO NOT WORRY IT SHALL BE WELL,WORRY ZERO ALL BECOME WELL
DO NOT WORRY IT SHALL BE WELL,WORRY NOTHING/ IT WELL BECOME
DO ORAL LITERATURE,ORAL LITERATURE DO
DO SOME COMMUNICATION,COMMUNICATION SOME DO
DO SOME WINNOWING,WINNOW SOME DO
DO SOMETHING MEANINGFUL,SOMETHING  MEANING HAVE DO
DO THE IMPLEMENTATION,IMPLIMENTATION DO
DO THE RIGHT THING ALWAYS,ALWAYS RIGHT THING DO
DO THE WORK,WORK DO
DO YOU HAVE A JOB?,JOB YOU HAVE
DO YOU HAVE A PROBLEM?,PROBLEM YOU HAVE---?
DO YOU HAVE A REASON WHY YOU SHOULDN'T BE PUNISHED,REASON HAVE ENOUGH POSSIBLE PUNISH ZERO
DO YOU HAVE A REASON WHY YOU SHOULDN'T BE PUNISHED?,YOU PUNISH NOTHING REASON HAVE---?
DO YOU HAVE A WHATSAPP?,WHATSAPP YOU HAVE
DO YOU HAVE ANY DEBT?,DEBT ANY YOU HAVE
DO YOU HAVE FARE?,FARE YOU HAVE---?
DO YOU KNOW HOW TO KNIT?,KNIT KNIT YOU KNOW?
DO YOU KNOW HOW TO USE A COMPUTER?,COMPUTER USE YOU KNOW---?
DO YOU LIKE CHOCOLATE,CHOCOLATE YOU  LIKE
DO YOU LOVE ME,ME YOU LOVE
DO YOU LOVE SAUSAGE?,SAUSAGE YOU LOVE
DO YOU UNDERSTAND THIS THEORY?,THEORY THIS YOU UNDERSTAN
DO YOUR WORK CAREFULLY,WORK YOUR CAREFUL DO
DOCTORS RECOMMEND THAT I GET ATLEAST EIGHT HOURS OF SLEEP EACH NIGHT,SLEEP HOUR EIGHT NIGHT EACH DOCTOR RECOMMEND ME GET
DOCTORS WANT TO REST,REST DOCTOR DOCTOR WANT
DOGS ATTACK STRANGE PEOPLE,PAST PEOPLE STRANGE DOG ATTACK
DONKEYS ARE STRONG ANIMALS,DONKEY DONKEY ANIMAL STRONG
DONKEYS CARRY LUGGAGE,LUGGAGE DONKEY DONKEY CARRY
DON'T ALTER WITH THE PROCESS,PROCESS  ALTER NO
DON'T APPLY A LOT OF LIPSTICK,LIPSTICK A LOT APPLY ZERO
DON'T BE HARSH,HARSH BE DON'T
DON'T BE STUBBORN TO YOUR TEACHERS,TEACHER YOUR YOU STUBBORN BECOME NOTHING
DON'T BE STUBBORN TO YOUR TEACHERS,TEACHER  YOURS YOU STUBBORN NOTHING
DON'T BE TOO QUICK TO COMMENT,COMMENT BE QUICK NOTHING
DONT BREAK MY HEART,HEART MINE BREAK ZERO
DON'T EXAGGERATE SUGAR IN TEA!,SUGAR TEA THERE EXAGGERATE NOTHING
DON'T EXAGGERATE THE SIZE OF THE FISH YOU CAUGHT!,FISH YOU CATCH SIZE EXAGGERATE NOTHING
DONT FORGET TO BUY A TISSUE PAPER,TISSUE PAPER BUY YOU FORGET NOTHING
DON'T FORGET TO CARRY LUNCH TOMORROW,TOMORROW LUNCH CARRY FORGET NOTHING
DON'T HARASS ME,ME HARASS ZERO
DON'T LIE TO ME,ME LIE ZERO
DON'T OVER REACT,OVER REACT ZERO
DON'T PUT ALL YOUR EGGS IN ONE BASKET,EGG ALL BASKET ONE PUT ZERO
DON'T PUT ALL YOUR EGGS IN ONE BASKET,BASKET ONE EGG YOUR ALL PUT NOTHING
DON'T PUT ALL YOUR EGGS IN ONE BASKET,EGG YOURS ALL BASKET ONE PUT NOTHING
DON'T SUFFER SO MUCH,SUFFER A LOT DON'T
DONT USE TOO MUCH SUGAR,SUGAR A LOT USE NOTHING
DON'T WHISPER IN CLASS,CLASS YOU WHISPER ZERO
DOUBLE YOUR SALARY THIS MONTH,MONTH THIS SALARY YOURS DOUBLE
DOUBTING CHRISTIANS DO NOT HAVE FAITH,DOUBTING  CHRISTIAN FAITH HAVE ZERO
DRAW A TABLE,TABLE DRAW
DRAW A ZIG-ZAG,ZIG-ZAG DRAW
DRAW THE ANATOMY OF THE HUMAN BODY,BODY HUMAN ANATOMY DRAW
DRAW THE DIAGRAM,DIAGRAM DRAW 
DRAW THE PICTURE,PICTURE DRAW
DRAW YOUR GRANDMOTHER WHEN SLEEPING,GRANDMOTHER YOUR DRAW TIME SLEEP
DRESS WELL,WELL DRESS
DRILL THE WOOD QUICKLY,WOOD QUICK QUICK DRILL
DRINK A GLASS OF WATER,GLASS WATER DRINK
DRINK THAT JUICE,JUICE THAT DRINK
DRINKING DIRTY WATER MAY LEAD TO DIARRHEA,DIARRHOEA WATER DIRTY DRINK CAUSE CAN
DRIVER DROVE CARELESSLY,CARELESSLY DRIVER DROVE
DROP THAT GLASS DOWN,GLASS THAT DOWN DROP
DROP THAT JEMBE ON THE GROUND,GROUND JEMBE THAT DROP
DROP THAT PHONE,PHONE THAT DROP
DRUGS ARE NOT GOOD,DRUG DRUG GOOD ZERO
DUCKS LOVE SWIMMING,SWIM SWIM DUCK LOVE
"DUE TO HIS IMPAIRED VISION, HE WAS NOT ABLE TO DRIVE AT NIGHT",IMPOSSIBLE NIGHT DRIVE WHY VISION HIS IMPAIRED
"DUE TO HIS IMPAIRED VISION, HE WAS NOT ABLE TO DRIVE AT NIGHT",TIME NIGHT HE DRIVE NOTHING WHY/VISION HIS IMPAIRED
DURUMA ARE POLITE,DURUMA POLITE TRUE
EACH COUNTRY HAS A CONSTITUTION,COUNTRY EACH CONSTITUTION HAVE
EACH CULTURE IS GOOD,CULTURE EACH GOOD
EACH ORGANIZATION MUST HAVE A BOSS,ORGANIZATION EACH BOSS HAVE MUST
EACH PERSON IS A MEMBER OF A SOCIETY,PERSON  EACH SOCIETY MEMBER 
EACH YEAR WORKERS RECEIVE SALARY INCREMENT,YEAR EACH WORKER WORKER SALARY INCREASE RECEIVE
EARTHQUAKE DESTROYED PROPERTIES,PAST PROPERTY EARTHQUAKE DESTROY
EARTHQUAKE DESTROYED PROPERTIES,PAST PROPERTY EARTHQUAKE DESTROY FINISH
EAT CAREFULLY,CAREFUL EAT
EDUCATION IS A NICE COURSE,EDUCATION COURSE  NICE
"EDUCATION IS IMPORTANT EVERY CHILD MUST GO TO SCHOOL CURRENTLY, THE KENYAN GOVERNMENT OFFERS FREE EDUCATION FOR BOTH PRIMARY AND SECONDARY SCHOOL LEVELS ALL SCHOOLS HAVE SOME TEACHERS THE TEACHERS ARE NOT ENOUGH MANY NEED TO BE EMPLOYED PARENTS WHO HAVE CHILDREN WITH DISABILITY ARE ENCOURAGED TO TAKE THEM TO SCHOOL MANY SCHOOLS ARE NOW INCLUSIVE ALL CHILDREN CAN LEARN IN SCHOOLS NEAR THEIR HOMES", EDUCATION IMPORTANT TRUECHILD EACH SCHOOL GO MUSTCURRENTLY PRIMARY SAME SECONDARY SCHOOL LEVEL FREE EDUCATION KENYA GOVERNMENT OFFERSCHOOL ALL TEACHER SOME HAVETEACHER ENOUGH ZEROMANY EMPLOY NEEDPARENT WHO CHILDREN WITH DISABILITY HAVE SCHOOL TAKE ENCOURAGESCHOOL MANY NOW INCLUSIVECHILDREN ALL SCHOOL HOME NEAR LEARN CAN
EDUCATION OPENS UP ONES MIND,ONE MIND EDUCATION OPEN
EGGS ARE HEALTHY,EGG EGG HEALTHY
EGGS ARE OVAL IN SHAPE,EGG EGG SHAPE OVAL HAVE
EGGS HAVE YELLOW YORK,YORK YELLOW EGG EGG HAVE
EGYPT IS A SMALL COUNTRY,EGYPT COUNTRY SMALL
ELDERLY MONEY HAS NOT BEEN GIVEN,MONEY ELDER GIVE NOTHING
ELDERS ARE ALWAYS WISE,ALWAYS ELDER ELDER WISE
ELDERS SOLVE PROBLEMS IN MANY TRIBES,TRIBE MANY ELDER ELDER  PROBLEM SOLVE 
ELDORET IS A CLEAN TOWN,ELDORET TOWN CLEAN
ELDORET TOWN HAS MANY ATHLETES,ATHLETE MANY ELDORET TOWN HAS
ELECT LEADERS THAT YOU LOVE,LEADER LEADER YOU LOVE ELECT
ELECTION WILL BE RIGGED,FUTURE ELECTION RIG TRUE
ELECTRICITY AT HIS HOUSE WAS DISCONNECTED,PAST  HOUSE HIS ELECTRICITY DISCONNECT
ELECTRICITY AT HIS HOUSE WAS DISCONNECTED,HOUSE HIS ELECTRICITY DISCONNECT
ELECTRICITY WAS DISCONNECTED IN HIS HOUSE,PAST HOUSE HIS ELECTRICITY DISCONNECT
ELEPHANT IS A VERY BIG ANIMAL,ELEPHANT ANIMAL BIG BIG
ELEPHANTS INVADE MY FARM,FARM MINE ELEPHANT INVADE
EMBU HAS MANY SNAKES,SNAKE MANY EMBU HAVE
EMBU IS A FAST GROWING TOWN,EMBU TOWN FAST FAST GROW
EMBU IS KNOWN FOR PINEAPPLES,PINEAPPLE A LOT EMBU HAVE
EMMANUEL MEANS GOD WITH US,GOD WITH US EMMANUAL MEAN
ENCOURAGE THE LEARNERS,LEARNER LEARNER ENCOURAGE
ENGINEERS BUILD NICE STRUCTURES,STRUCTURE STRUCTURE NICE ENGINEER BUILD 
ENGLISH,KSL
ENGLISH	KSL,ENGLISH	KSL
ESCAPE FROM THAT PLACE,PLACE THAT ESCAPE
ESCAPE THAT TRAP,TRAP THAT ESCAPE
ESTABLISH A VEGETABLE GARDEN,GARDEN VEGETABLE ESTABLISH
EUROPEANS ENJOY AT THE BEACH,BEACH EUROPEAN EUROPEAN ENJOY
EUROPEANS SCRAMBLED FOR AFRICA,PAST AFRICA EUROPEAN SCRAMBLE
EVERY BOOK HAS AN INDEX,BOOK EVERY INDEX HAVE
EVERY COUNTRY HAS A CONSTITUTION,COUNTRY EACH CONSTITUTION HAVE
EVERY COUNTRY HAS ECONOMIC ACTIVITY,ECONOMIC ACTIVITY COUNTRY EACH HAS
EVERY CULTURE IS GOOD,CULTURE EACH GOOD
EVERY ORGANIZATION MUST HAVE A BOSS,ORGANIZATION EACH BOSS HAVE MUST
EVERY TEACHER SHOULD HAVE CREATIVE THINKING SKILLS,CREATIVE THINKING SKILL EVERY TEACHER HAVE MUST
EVERY WRITER SHOULD HAVE AN EMAIL ADDRESS,WRITER EACH EMAIL ADRESS HAVE MUST
EVERY YEAR WORKERS RECEIVE SALARY INCREMENT,SALARY INCREASE YEAR EACH WORKER WORKER RECEIVE
EVERYONE IS WELCOME TO JOIN US FOR LUNCH THIS WEEKEND,WEEKEND THIS ALL-WELCOME LUNCH US JOIN
EVERYONE IS WELCOME TO JOIN US FOR LUNCH THIS WEEKEND,WEEKEND THIS ALL WELCOME LUNCH US JOIN
EVERYTHING IS FULL,EVERYTHING FULL
EVERYTHING IS INCLUDED,NOW EVERYTHING INCLUDE TRUE
EVERYTHING IS NOW TAXED,NOW EVERYTHING TAX TAX
EVICT ALL THE TOUTS FROM YOUR PROPERTY,PROPERTY YOUR TOUT ALL EVICT
EXAMS START AT 8 AM ON MONDAY,MONDAY TIME 8 MORNING EXAM START
EXAMS START AT 8AM ON MONDAY,MONDAY TIME 8 MORNING EXAM START
EXAMS START AT AM ON MONDAY,MONDAY TIME 8 AM EXAM START
EXCLUDE NEGATIVITY FROM YOUR LIFE,LIFE YOUR NEGATIVE EXCLUDE
EXCUSE ME,ME EXCUSE
EXCUSE ME SIR,SIR ME YOU EXCUSE
EXERCISE IS GOOD FOR YOUR HEALTH,HEALTH YOUR EXERCISE GOOD
EXERCISING REGULARLY CAN IMPROVE YOUR HEALTH,TIME EXERCISE REGULAR HEALTH IMPROVE
EXERCISING REGULARLY CAN IMPROVE YOUR HEALTH,REGULAR EXERCISE HEALTH YOURS IMPROVE CAN
EXPAND THAT CIRCLE,CIRCLE THAT EXPAND
EXPAND THAT COMPOUND,COMPOUND THAT EXPAND
EXPECT ME SOON,SOON ME EXPECT
EXPECT NO MORE MONEY,MONEY MORE EXPECT ZERO
EXPECT US TODAY,TODAY US YOU EXPECT
EXPENDITURES ARE BECOMING HIGH,NOW HIGH EXPENDITURE EXPENDITURE BECOME
EXPLAIN THAT FOR US,US THAT EXPLAIN
EXTEND MY GREETINGS,GREETING MINE EXTEND
EXTEND MY GREETINGS,GREET GREET MINE EXTEND
FACEBOOK IS INTERESTING,FACEBOOK INTERESTING
FAME IS ADVANTAGEOUS,FAME ADVANTAGEOUS
FANS INVADED THE MATCH DUE TO POOR OFFICIATING,FANS MATCH INVADE WHY OFFICIATE POOR
FANS INVADED THE MATCH DUE TO POOR OFFICIATING,MATCH FAN FAN INVADE WHY/ OFFICIATE POOR
FARMERS ARE ALWAYS HEALTHY,FARMER FARMER HEALTHY ALWAYS
FARMERS SUPPORT THE COUNTRY'S ECONOMY,COUNTRY ECONOMY FARMER FARMER SUPPORT
FASTEN YOUR BELT,BELT YOUR FASTEN
FASTEN YOUR BELTS,BELT YOUR FASTEN
FASTING AND PRAYING CAN CHANGE YOUR LIFE,LIFE YOUR FASTING SAME PRAYING CHANGE CAN
FASTING HELPS A LOT,FAST FAST A LOT HELP
FASTING STARTS NEXT WEEK,WEEK NEXT FASTING START
FASTING WILL START TOMORROW,TOMORROW FAST START
FATHER HAS WHITE HAIR,HAIR WHITE FATHER HAVE
FATHER IS GOING TO WORK,NOW WORK FATHER GO
FATHER IS RESTING IN THE HOUSE,NOW HOUSE THERE FATHER REST
FEAR THIS GENDER,GENDER THIS FEAR
FEEL FREE,FREE FEEL
FEMALE GENITAL MUTILATION IS BAD,FEMALE GENITAL MUTILATION BAD
FENCE YOUR COMPOUND,COMPOUND YOUR FENCE
FEW PEOPLE KNOW HOW TO PLAY DARTS,DARTS PLAY PEOPLE FEW KNOW
FIGHT FOR YOUR FUTURE,FUTURE YOUR FIGHT
FIGHTING IN CHURCH IS BLASPHEMY,CHURCH FIGHT BLASPHEMY TRUE
FIGHTING IS A SILLY WAY OF RESOLVING CONFLICTS,FIGHT SAME WAY SILLY  CONFLICT RESOLVE
FIGHTING IS A SILLY WAY OF RESOLVING CONFLICTS,FIGHT WAY SILLY CONFLICT RESOLVE
FIND ME A GUEST HOUSE,GUEST HOUSE ME YOU FIND
FIND THE DOTS,DOT DOT FIND
FINGERPRINTS ARE TAKEN TODAY,TODAY FINGERPRINT FINGERPRINT TAKE
FINISH EATING FIRST,NOW EAT FIRST FINISH
FINISH YOUR WORK BEFORE GOING HOME,BEFORE HOME GO WORK YOUR FINISH
FINISH YOUR WORK BEFORE GOING HOME,BEFORE HOME GO WORK YOURS FINISH
FISH ARE IN LAKE VICTORIA,FISH FISH LAKE VICTORIA THERE
FISH IS GOOD FOOD,FISH FOOD GOOD TRUE
FISHING IS EASY,FISHING EASY
FIX THAT RADIO,RADIO THAT FIX
FIX THE CABLES,CABLE CABLE FIX
FLAT AREAS ALWAYS FLOOD WHEN IT RAINS HEAVILY,ALWAYS TIME RAIN HEAVY/AREA FLAT FLOOD
FLEAS LOVE SUCKING BLOOD FROM DOGS,BLOOD DOG SUCK FLEA LOVE
FLOWERING PLANTS ARE MANY,PLANT PLANT FLOWER MANY
FLOWERS HAVE BIRDS,BIRD BIRD FLOWER HAVE
FLUSH THE TOILET AGAIN,TOILET AGAIN FLUSH
FOCUS ON YOUR WORK,WORK YOURS FOCUS
FOETUS GROW INSIDE THE WOMB,WOMB INSIDE FOETUS GROW
FOETUS GROW INSIDE THE WOMB,WOMB FOETUS GROW
FOLD THE CLOTHES NEATLY,NEAT NEAT CLOTH CLOTH FOLD
FOLLOW THE CONSTITUTION,CONSTITUTION FOLLOW
FOOD SCIENCE BASES ON PREPARATION OF FOOD,FOOD SCIENCE FOOD PREPAIR BASE
FOOD SCIENCE IS MORE OF PRACTICAL,FOOD SCIENCE PRACTICAL A LOT
FOOTBALLERS ARE STRONG,FOOTBALL PEOPLE STRONG
FORGIVE OTHERS,OTHERS FORGIVE
FOX HAS LONG MOUTH,MOUTH LONG FOX HAVE
FRUITS ARE HEALTHY,FRUIT FRUIT HEALTHY
FUNDS WILL BE DISBUSSED TOMORROW,TOMORROW FUND FUND DISBUSS
GATHER THOSE VISITORS,VISITOR VISITOR THOSE GATHER
GAVINGTON WON THE WALKING RACE,WALKING RACE G-A-V-I-N-G-T-O-N WON
GEOGRAPHICAL TERMS ARE INTERESTING,GEOGRAPHY WORD WORD INTERESTING
GERMAN ORGANIZATIONS ARE GOOD,ORGANIZATION GERMAN GOOD
GET BAPTISED,BAPTISE GET
GET ME A NEW DUSTCOAT,DUSTCOAT NEW ME YOU GET
GET ME A NEW MEMORY CARD,MEMORY CARD NEW ME GET
GET ME A NEW TOWEL,TOWEL NEW ME GET
GET ME CHARGED TELEPHONE,TELEPHONE CHARGE ME YOU GET
GET ME MY NOTES,NOTE NOTE MINE GET
GET ME THAT JACKET,JACKET THAT ME GET
GET ME THAT OPENER,OPENER THAT ME GIVE
GET ME THAT SEAT,SEAT THAT ME GET
GET ME THAT TAPE,TAPE THAT ME GET
GET ME THE ENVELOPE,ENVELOPE YOU ME GET
GET SOME PEGS,PEG PEG SOME GET
GETTING A TRUE FRIEND IS HARD,FRIEND TRUE GET HARD
GHOST WORKERS OCCUPY GOVERNMENT OFFICES,GOVERNMENT OFFICES GHOST WORKER OCCUPAY
GIRAFFE ATE THE GRASS,PAST GRASS GIRAFFE EAT
GIRAFFE IS THE TALLEST ANIMAL,GIRAFFE ANIMAL TALL TALL
GIRAFFES ARE VERY TALL ANIMALS,GIRAFFE  GIRAFFE ANIMAL TALL
GIRLS HATE TAG-OF-WAR,TAG WAR GIRL GIRL HATE
GIRLS UNDERGO MENSTRUATION EVERY MONTH,GIRL GIRL MONTH EVERY MENSTRUATION HAVE
GIRLS UNDERGO MENSTRUATION EVERY MONTH,MONTH EACH MENSTRUATION GIRL GIRL EXPERIENCE
GIVE GOD SOME RESPECT,RESPECT SOME GOD GIVE
GIVE HER YOUR TICKET,TICKECT YOUR HER GIVE
GIVE IT A FLAT BASE,BASE FLAT IT GIVE
GIVE ME FIVE WHITE VESTS,VEST FIVE WHITE ME GIVE
GIVE ME MY BOOK,BOOK MINE  GIVE
GIVE ME MY BOOK,BOOK MINE GIVE
GIVE ME MY CAPE,CAPE MINE GIVE
GIVE ME SOME SPACE,SPACE SOME ME YOU GIVE
GIVE THE BABY SOME PORRIDGE,BABY PORRIDGE SOME GIVE
GIVE THE LIDS TO THE BABY,BABY LID GIVE
GIVE THIS BOY SOME POPCORN,POPCORN SOME BOY THIS GIVE
GLASSES ARE FEW,GLASS GLASS FEW
GLORY BE TO GOD,GOD GLORY
GLORY TO GOD,GOD GLORY
GLOSS ALL THE SENTENCES,SENTENCE ALL GLOSS
GO AHEAD AND WASH THE BATHROOM,BATHROOM WASH
GO AND CALL KEVIN,KEVIN CALL GO
GO AND DIG YOUR FARMS,FARM FARM YOURS DIG GO
GO AND SLEEP,SLEEP GO
GO BEHIND THE HOUSE,HOUSE BEHIND GO
GO DOWN THE PLAIN,PLAIN DOWN GO
GO FOR BREAK,BREAK GO
GO FOR CHECKUP,CHECKUP GO
GO TO THE FARM,FARM GO
GO TO THE LIBRARY,LIBRARY GO
GO TO THE TOILET QUICKLY,TOILET GO QUICK QUICK
GOATS AND SHEEP ARE KEPT AT HOME,GOAT GOAT SAME SHEEP HOME KEEP
GOATS LOVE THOSE HERBS,HERB THOSE GOAT LOVE
GOAT'S MEAT IS DELICIOUS,MEAT GOAT DELICIOUS
GOD CALLED MOSES,PAST MOSES GOD CALL
GOD CALLED MOSES IN THE BUSH,PAST BUSH MOSES GOD CALL
GOD CALLED MOSES IN THE BUSH,BUSH THERE MOSES GOD CALL FINISH
GOD CREATED THE WORLD AND EVERYTHING IN IT HE RESTED ON THE SEVENTH DAY JESUS IS THE SON OF GOD JESUS WAS TEMPTED BY SATAN HE DIED ON THE CROSS TO SAVE MAN FROM SIN PEOPLE ARE EXPECTED TO LOVE EACH GOD FORGIVES SIN WE SHOULD PRAY ALWAYS PRAYERS ARE IMPORTANT BECAUSE THEY CONNECT US WITH GOD JESUS WILL COME SOON TO TAKE THE RIGHTEOUS WITH HIM TO HEAVEN,WORLD SAME EVERYTHING INSIDE GOD CREATEDAY SEVEN GOD RESTGOD JESUS  SONJESUS SATAN TEMPTCROSS HE DIE WHY/SIN MAN SAVEPEOPLE EACH OTHER LOVE EXPECTSIN GOD FORGIVEALWAYS US PRAY MUSTPRAYER IMPORTANT WHY/US GOD CONNECTSOON JESUS COME HEAVEN RIGHTEOUS TAKE
GOD HAS DELIVERED YOU,NOW YOU GOD DELIVER FINISH
GOD INITIATED PROCREATION,PAST PROCREATE GOD INITIATE
GOD IS GOOD,TRUE GOD GOOD 
GOD IS GOOD,GOD GOOD
GOD IS GOOD ALL THE TIME,TIME ALL GOD GOOD 
GOD IS GOOD ALL THE TIME,TIME ALL JESUS GOOD
GOD LOVES ALL PEOPLE,PEOPLE ALL GOD LOVE
GOD MADE HEAVEN AND EARTH,PAST GOD HEAVEN SAME EARTH MADE
GOD MADE THE UNIVERSE,PAST UNIVERSE GOD MAKE
GOD MAKES EVERYTHING POSSIBLE,ALL POSSIBLE GOD MAKE
GOD MAKES EVERYTHING POSSIBLE,EVERYTHING POSSIBLE GOD MAKE
GOD WANTS US TO PROCREATE,GOD US PROCREATE WANT
GOD'S GOODNESS AND MERCY SHALL FOLLOW ME FOREVER,GOD  GOODNESS SAME MERCY POSSIBLE ME FOLLOW FOREVER 
GOD'S GRACE ALWAYS KEEP US ALIVE,ALWAYS GRACE GOD ALIVE US KEEP
GODS GRACE IS ENOUGH,GRACE GOD ENOUGH
GOD'S WORD CANNOT CHANGE,WORD GOD CHANGE NOTHING 
GOLD IS EXPENSIVE,GOLD EXPENSIVE TRUE
GOLD MINING IS MOSTLY IN SOUTH AFRICA,GOLDMINE SOUTH AFRICA A LOT HAVE
GOOD BEHAVIOR BRINGS SUCCESS,SUCCESS BEHAVIOUR GOOD BRING
GOOD EXERCISE IS GOOD FOR YOUR HEALTH,EXERCISE GOO GOOD HEALTH YOUR
GOOD MORNING MY FRIEND,FRIEND MINE GOOD MORNING
GOOD NIGHT GOOD PEOPLE,GOOD PEOPLE NIGHT GOOD
GOOD STUDENTS KEEP TIME,STUDENT GOOD TIME KEEP
GOOGLE FROM THE INTERNET, INTERNET THERE GOOGLE
GOOGLE MORE INFORMATION,INFORMATION MORE GOOGLE
GOOSE HAS A STRONG BEAK,BEAK STRONG GOOSE HAVE
GOSPEL MUSIC IS GOOD,GOSPEL MUSIC GOOD
GOVERN YOUR COUNTRY,COUNTRY YOUR GOVERN
GOVERNMENT EXPENDITURE IS HIGH,EXPENDITURE GOVERNMENT HIGH
GOVERNMENT OFFICE HAS GHOST WORKERS,WORKER GHOST GOVERNMENT OFFICE HAVE
GRAB MY HAND,HAND MINE GRAB
GRADE FOUR LEARNERS WATERED THEIR ONION SEEDLINGS,PAST ONION SEED THEIRS GRADE FOUR LEARNER LEARNER WATER/
GRANDFATHER IS SLEEPING,NOW GRANDFATHER SLEEP
GRANDMOTHER IS SEWING A NICE DRESS,NOW DRESS NICE GRANDMOTHER SAW
GRANDMOTHER SOLD TEN GOATS,PAST GOAT TEN GRANDMOTHER SELL
GRANDMOTHER TELL STORIES AT NIGHT,TIME NIGHT STORY STORY GRANDMOTHER TELL
GRASS IS BIG,GRASS BIG
GRAVELLEA IS A GOOD SPECIES,GRAVELLEA SPECIES GOOD TRUE
GRAVILLEA IS A NICE SPECIES,GRAVILLEA SPECIES NICE TRUE
GROUNDNUTS ARE SWEET,GROUND NUT SWEET TRUE
GROUPS WERE FORMED AND GIVEN DIFFERENT TASKS TO PERFORM,BEFORE GROUP GROUP FORM FINISH SAME TASK DIFFERENT DO GIVE
GROW WITH EACH EXPERIENCE AND LEARN,EXPERIENCE EACH GROW SAME LEARN
GUARD ALL ROOMS OF THE OFFICES,ROOM OFFICE ALL GUARD
GUAVAS DO NOT GROW HERE,GUAVA GUAVA HERE GROW ZERO
GUILT WILL KILL THEM,FUTURE THEY GUILT KILL
HALF THE MEN ARE OLD,MAN MAN HALF OLD
HANG MANY CLOTHES ON THE LINE,CLOTH MANY LINE HANG
HANG THIS BAG NEAR THAT COAT,COAT THAT NEAR BAG THIS HANG
HARD WORK BRINGS ENOUGH JOY,JOY ENOUGH HARD WORK BRING
HARDWORK BRINGS ENOUGH JOY,JOY ENOUGH HARD WORK BRING
HARE IS A CUNNING ANIMAL,HARE ANIMAL CUNNING
HARE IS VERY CLEVER,HARE CLEVER TRUE
HARVEST ALL THE MILLET,MILLET ALL HARVEST
HAVE PREPARED A TRAY OF EGGS,EGG TRAY MINEPREPARE FINISH
HAVE YOU ATTENDED A CELEBRATION?,PAST CELEBRATION ANY YOU ATTEND---?
HAVE YOU CLEANED THE PLATES?,PLATE PLATE YOU CLEAN FINISH---?
HAVE YOU REACHED AT THE AIRPORT?,AIRPORT YOU REACH FINISH
HAVE YOU READ THE NOTICE?,NOTICE YOU READ FINISH-Ã‚â‚¬Â?
HAVE YOU RECEIVED THE LETTER FROM THE GOVERNMENT?,GOVERNMENT LETTER YOU RECEIVE FINISH---?
HAVE YOU SEEN A ROCKECT?,ROCKET YOU SEE FINISH---?
HAVE YOU SEEN MY TOBACCO PIPE?,TOBACCO PIPE MINE YOU SEE FINISH---?
HAVE YOU SEEN THE MATCHBOX?,MATCHBOX YOU SEE FINISH---?
HAVE YOU SEEN THE MICROSCOPE?,MICROSCOPE YOU SEE FINISH
HE ACCEPTED TO VISIT HIS GRANDMOTHER NEXT WEEK,PAST WEEK NEXTGRANDMOTHER VISIT HIM ACCEPT
HE AIMED WELL WHEN SCORING,PAST TIME SCORE HIM AIM WELL
HE ALWAYS DRAWS NICE PICTURES,ALWAYS PICTURE NICE HE DRAW
HE ALWAYS JOG IN THE MORNING,ALWAYS MORNING HE JOG
HE ALWAYS SPEAKS PROPAGANDA,ALWAYS PROPAGANDA HE SPEAK
HE ALWAYS TWIST HIS BODY INTO DIFFERENT POSITIONS,ALWAYS POSITION DIFFERENT HE BODY HIS TWIST
HE ALWAYS WALK TO SCHOOL,ALWAYS SCHOOL HE WALK
HE APOLOGIZED FOR HIS MISTAKE,MISTAKE HIS HE APOLOGIZE
HE ARRANGED HIS ACTIVITIES,PAST ACTIVITY  HIS HIM ARRANGE
HE ARRANGED HIS ACTIVITIES AS THEY WERE SUPPOSED,ACTIVITY HIS HE ARRANGE SAME EXPECTED
HE ARRIVED TO SCHOOL LATE,SCHOOL HE ARRIVE LATE
HE BELCHED LOUDLY AFTER EATING,AFTER EAT FINISH/ HE LOUD BELCH
HE BELCHED LOUDLY AFTER EATING,TIME EAT FINISH/HE LOUD BELCH
HE BOUGHT A COCONUT IN KILIFI,PAST KILIFI COCONUT HE BUY
HE BOUGHT A NEW CLOCK,PAST CLOCK NEW HE BUY
HE BOUGHT LAND IN NANYUKU,PAST NANYUKI LAND HE BUY
HE BROKE THE PLATES,PAST PLATE PLATE HE BREAK
HE BROUGHT APPROXIMATELY ELEVEN KILOGRAMS OF SIMSIM,PAST SIMSIM APPROXIMATE KILIGRAM ELEVEN HIM BRING
HE BROUGHT ME A GIFT,PAST GIFT ME HIM BRING
HE BROUGHT SWEET MANGOES FROM MACHAKOS,PAST MACHAKOS MANGO SWEET HE BRING
HE BUILT A MANSION,PAST MANSION HE BUILD
HE BUILT A TEMPLE,PAST TEMPLE HE BUILD
HE BUILT THIS HOUSE,PAST HOUSE THIS HE BUILD
HE BUILT USING BRICKS,PAST BRICK BRICK BUILD HE USE
